hc_code,n_patients,is_hc4,htn_prevalence,treat_rate,mean_systolic,avg_missing_per_row
27,53,0,0.33962264150943394,0.07547169811320754,125.47169811320755,0.0
36,50,1,0.3,0.02,119.92,0.0
6,51,0,0.29411764705882354,0.0,120.45098039215686,0.0
20,51,1,0.27450980392156865,0.0196078431372549,127.66666666666667,0.0
3,52,0,0.2692307692307692,0.057692307692307696,121.9423076923077,0.0
8,53,1,0.2641509433962264,0.07547169811320754,118.9245283018868,0.0
44,51,0,0.2549019607843137,0.0196078431372549,107.05882352941177,0.0
37,53,0,0.24528301886792453,0.0,116.9622641509434,0.0
9,50,0,0.22,0.0,118.40816326530613,0.06
31,50,0,0.22,0.0,124.58,0.0
41,50,1,0.22,0.0,119.3,0.0
16,53,0,0.20754716981132076,0.05660377358490566,114.43396226415095,0.018867924528301886
35,50,0,0.2,0.02,119.86,0.0
19,51,0,0.19607843137254902,0.0,121.43137254901961,0.0
51,50,1,0.18,0.02,118.1,0.0
23,51,0,0.17647058823529413,0.0392156862745098,118.03921568627452,0.0
43,50,0,0.16,0.0,116.52,0.0
4,50,0,0.16,0.0,115.86,0.0
22,51,1,0.1568627450980392,0.0,118.13725490196079,0.0
30,53,0,0.1509433962264151,0.05660377358490566,119.49056603773585,0.0
49,50,1,0.14,0.0,121.3,0.0
48,48,1,0.125,0.0,117.33333333333333,0.0
38,50,0,0.12,0.0,118.4,0.0
12,50,0,0.12,0.0,116.5,0.0
42,50,0,0.12,0.0,118.96,0.0
34,50,0,0.12,0.0,117.58,0.0
47,50,0,0.1,0.0,111.98,0.0
46,50,0,0.1,0.0,114.56,0.02
10,50,0,0.1,0.0,116.04,0.02
15,50,1,0.1,0.0,119.68,0.0
2,50,1,0.1,0.0,115.46,0.0
1,51,1,0.09803921568627451,0.0,119.07843137254902,0.0
18,51,0,0.09803921568627451,0.0196078431372549,114.88235294117646,0.0
29,55,0,0.09090909090909091,0.09090909090909091,122.30909090909091,0.0
7,50,1,0.08,0.02,112.4,0.0
5,50,0,0.08,0.0,112.74,0.0
28,50,0,0.08,0.0,116.1,0.02
13,50,0,0.08,0.0,114.4,0.0
50,51,0,0.0784313725490196,0.0,115.37254901960785,0.0196078431372549
45,51,1,0.0784313725490196,0.0,116.3529411764706,0.0
25,52,1,0.07692307692307693,0.019230769230769232,113.92307692307692,0.019230769230769232
11,50,1,0.06,0.04,122.22,0.0
21,51,0,0.058823529411764705,0.0196078431372549,117.31372549019608,0.0
52,51,1,0.058823529411764705,0.0196078431372549,114.82352941176471,0.0
33,51,0,0.058823529411764705,0.0,117.62745098039215,0.0
14,52,0,0.057692307692307696,0.019230769230769232,111.9423076923077,0.0
32,53,0,0.05660377358490566,0.0,112.90566037735849,0.0
40,50,0,0.04,0.0,119.56,0.0
24,51,0,0.0392156862745098,0.0196078431372549,118.2156862745098,0.0
39,52,0,0.038461538461538464,0.038461538461538464,122.09615384615384,0.0
17,51,0,0.0,0.0196078431372549,118.45098039215686,0.0
26,51,0,0.0,0.0,117.15686274509804,0.0
