,missing_pct,cramers_v_htn,information_value,odds_ratio,OR_pvalue,perm_importance,mutual_info_htn,selected_by_rfecv
bp_diastolic,0.0,0.824,,,,0.02492035742035741,0.2556,True
bp_spl_5,0.0,0.713,,,,0.011635586635586614,,True
bp_spl_2,0.0,0.707,,,,0.01128205128205123,,True
cardiometabolic_composite,0.0,0.551,,,,0.010977078477078494,,True
bp_spl_4,0.0,0.707,,,,0.010895493395493349,,True
bp_systolic,0.0,0.706,,,,0.010691530691530693,0.185,True
MAP,0.0,0.8,,,,0.009648407148407135,,True
bp_spl_3,0.0,0.707,,,,0.007072649572649558,,True
bp_systolic_bin_woe,0.04,0.663,,,,0.0057459207459207625,,True
hc_code_te,0.0,0.205,,,,0.004388111888111867,,True
phenotype_cluster_woe,0.0,0.683,,,,0.0039996114996115,,True
pulse_pressure,0.0,0.327,,,,0.003978243978243923,,True
hc_code_te_oof,0.0,0.193,,,,0.0025679875679875397,,True
anomaly_score,0.0,0.282,,,,0.0021445221445220873,,True
alcohol,0.0,0.078,0.0517,1.624,4.08334563941235e-05,0.002068764568764536,0.0044,True
isolated_systolic,0.0,0.289,,,,0.0019696969696969433,,True
phenotype_cluster,0.0,0.683,2.9784,,,0.001888111888111854,,True
overweight,0.0,0.065,0.057,1.69,3.791535637237137e-05,0.0018259518259518658,0.0,False
age_x_overweight,0.0,0.129,,,,0.001645299145299084,,True
alcohol_woe,0.0,0.078,,,,0.0007264957264957128,,True
pp_tertile_woe,0.04,0.187,,,,0.0007206682206681414,,True
hc4,0.0,0.0,0.0026,1.116,0.36633397237249143,0.0005031080031079993,0.0051,True
lifestyle_risk,0.0,0.089,,,,0.0004797979797979579,,True
female_x_overweight,0.0,0.053,,,,0.00043123543123542164,,True
is_anomaly,0.0,0.31,,,,0.00042346542346545225,,True
age_category_woe,0.0,0.145,,,,0.00041375291375290725,,True
smoke,0.0,0.0,0.0011,0.892,0.5581697812622379,0.00039432789432788387,0.0,True
bpmdate6mo,0.0,0.078,0.0339,5.318,0.00022596814721947866,0.00021950271950267332,0.0123,True
bpmdate6mo_woe,0.0,0.078,,,,0.0002039627039626568,,True
marital_status,0.0,0.092,0.0797,,,3.885003885002458e-05,,True
overweight_woe,0.0,0.078,,,,1.7482517482469984e-05,,True
exercise,0.0,0.026,0.0088,0.801,0.09245675063606919,1.1655011654965187e-05,0.0,False
bp_systolic_was_missing,0.0,0.0,,,,0.0,,False
bp_spl_1,0.0,,,,,0.0,,False
overweight_was_missing,0.0,0.0,,,,0.0,,False
bp_diastolic_was_missing,0.0,0.0,,,,0.0,,False
marital_status_was_missing,0.0,0.0,,,,0.0,,False
hypertensive_urgency,0.0,0.195,,,,-8.935508935502545e-05,,False
female,0.0,0.0,0.0002,0.974,0.81607999419927,-0.00033799533799536705,0.0064,True
marital_status_woe,0.0,0.092,,,,-0.0003885003885003901,,True
artyr,0.0,0.0,0.0046,1.078,0.2717047485605367,-0.00043512043512049513,0.0,True
pp_x_overweight,0.0,0.217,,,,-0.0006177156177156418,,True
age_category,0.0,0.145,0.1947,0.402,1.7433872020252848e-13,-0.0010780885780885762,0.0089,True
artyr_x_age,0.0,0.142,,,,-0.0014355089355089778,,True
hc_code,0.0,0.196,,,,,,False
clinicid,0.0,,,,,,,False
htn_now,0.0,,,,,,,False
category,0.0,0.346,,,,,,False
prior_unknown,0.0,0.279,,,,,,False
new_dx,0.0,0.865,,,,,,False
bpfinal,0.0,0.671,,,,,,False
htn_stage,0.0,0.89,,,,,,False
treat,0.0,0.298,,,,,,False
bp_systolic_bin,0.04,0.663,2.8506,,,,,False
pp_tertile,0.04,0.187,0.2873,,,,,False
route,0.0,0.89,,,,,,False
