number,value,state,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq
0,0.9178011937681333,COMPLETE,0 days 00:00:02.612216,0.9330880728874675,0.1540359659501924,7,19,700,191,0.002570603566117598,0.023585940584142682,0.5779972601681014,0
1,0.9199039910986393,COMPLETE,0 days 00:00:01.217192,0.762378215816119,0.17052641538983093,1,22,200,215,7.71800699380605e-05,4.17890272377219e-06,0.5917022549267169,1
2,0.9127564261388909,COMPLETE,0 days 00:00:00.978514,0.7571172192068059,0.002094013887393744,4,48,1000,85,0.0021465011216654484,2.6185068507773707e-08,0.8925879806965068,1
3,0.914004096659743,COMPLETE,0 days 00:00:03.061657,0.5488360570031919,0.002468204407989012,12,97,1000,30,0.014391207615728067,9.148975058772307e-05,0.9041986740582306,1
4,0.9138971515720087,COMPLETE,0 days 00:00:01.273976,0.7600340105889054,0.013785322267847979,11,29,300,23,0.0008325158565947976,4.609885087947832e-07,0.831261142176991,1
5,0.9267892005638618,COMPLETE,0 days 00:00:02.193080,0.5979914312095727,0.06075805702761636,11,62,1500,241,2.5529693461039728e-08,8.471746987003668e-06,0.9609371175115584,0
6,0.8912809367631502,PRUNED,0 days 00:00:01.619936,0.9010984903770198,0.004210971105328152,3,31,700,214,4.6876566400928895e-08,7.620481786158549,0.7713480415791243,0
7,0.9114471205451093,PRUNED,0 days 00:00:02.760013,0.5370223258670452,0.002865832106246123,10,72,1200,16,1.683416412018213e-05,1.1036250149900698e-07,0.8645035840204937,4
8,0.9229745892086347,COMPLETE,0 days 00:00:01.534046,0.8187787356776066,0.027178637804725722,-1,34,1400,94,0.9658611176861268,0.0001778010520878397,0.6625916610133735,4
9,0.896412349026559,PRUNED,0 days 00:00:01.190606,0.7137705091792748,0.04377212690340857,6,79,300,198,1.6934490731313353e-08,9.354548757337708e-08,0.7468977981821954,3
10,0.9123053838872441,PRUNED,0 days 00:00:01.117952,0.642539945756007,0.057093978350259963,8,59,1500,248,8.170127834014398e-07,0.021346533494448285,0.9538323976412588,5
