model,fold,ROC_AUC,PR_AUC,Brier,Recall@90Prec
LogReg,1,0.94510732517375,0.8010565886689378,0.08415082162242016,0.6338028169014085
LogReg,2,0.9270149525893508,0.8572739686749441,0.08627708426308521,0.7777777777777778
LogReg,3,0.9293702893265257,0.8654969294187179,0.08855065439054663,0.6527777777777778
LogReg,4,0.924933138828106,0.8450200498511722,0.08093332643121084,0.7916666666666666
LogReg,5,0.9526805251641138,0.8973587622915721,0.08181850152372398,0.7361111111111112
RandomForest,1,0.91523156405683,0.771345291408043,0.06499218703100687,0.5633802816901409
RandomForest,2,0.9290511791879406,0.8065562432715927,0.06108268959502768,0.5555555555555556
RandomForest,3,0.937363238512035,0.7970208791215403,0.0630904492218483,0.3888888888888889
RandomForest,4,0.924598832968636,0.8018727055452025,0.058361120743529005,0.6388888888888888
RandomForest,5,0.9289144176999756,0.8215046292048719,0.0572359782241674,0.5138888888888888
LightGBM,1,0.8996555753736393,0.6981393156984601,0.08173478370266608,0.4084507042253521
LightGBM,2,0.9137338925358619,0.7753259414744205,0.07262214084160325,0.4444444444444444
LightGBM,3,0.9294614636518358,0.7876580018109497,0.06357689015075263,0.4166666666666667
LightGBM,4,0.9077923656698274,0.789688962196693,0.05690522445854243,0.4166666666666667
LightGBM,5,0.9323486506199854,0.8221750220188114,0.055397105675115715,0.5972222222222222
