model,fold,ROC_AUC,PR_AUC,Brier,Recall@90Prec
LogReg,1,0.9458146257457407,0.8120762775182689,0.08433858527128693,0.6056338028169014
LogReg,2,0.9265894724045709,0.8560298390519057,0.08658253209642594,0.7777777777777778
LogReg,3,0.9296438123024557,0.8667627533377021,0.08834731926962427,0.6527777777777778
LogReg,4,0.924690007293946,0.8458012835569371,0.07980125619148323,0.7916666666666666
LogReg,5,0.9536226598589838,0.8989750271831355,0.08219322667672355,0.7916666666666666
RandomForest,1,0.9063595547081618,0.7416855353691036,0.062362130623811976,0.4647887323943662
RandomForest,2,0.9171073425723316,0.7840185867666284,0.056817679517030616,0.5138888888888888
RandomForest,3,0.9220459518599562,0.7720391263872745,0.05802719585358992,0.5
RandomForest,4,0.9124574519815221,0.7706537914616653,0.056319697071942655,0.4444444444444444
RandomForest,5,0.9179431072210065,0.8091881854050816,0.05194764381994787,0.5277777777777778
LightGBM,1,0.8994403099821637,0.6904303640289791,0.0822666865553265,0.39436619718309857
LightGBM,2,0.9062575978604425,0.7796654620661344,0.07040134461403257,0.4722222222222222
LightGBM,3,0.9295830294189157,0.7917579130590813,0.06922170202698029,0.5972222222222222
LightGBM,4,0.9059840748845124,0.7931799651922031,0.05794394891838562,0.4027777777777778
LightGBM,5,0.9337162654996353,0.8243630766249376,0.05444237819355875,0.5277777777777778
